"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
0.24411363582704437,"Private",-0.23488082154792078,"HS-grad",-0.4186212793958557,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States",">50K"
-1.3670264641933985,"Private",0.03929420287209906,"HS-grad",-0.4186212793958557,"Never-married","Sales","Not-in-family","White","Male",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
0.9764500449272457,"Private",-0.5923443837503168,"HS-grad",-0.4186212793958557,"Married-civ-spouse","Transport-moving","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,0.766283176021235,"United-States","<=50K"
-0.19528820963307636,"Federal-gov",0.45903292304444476,"Assoc-acdm",0.7434489312267507,"Married-civ-spouse","Other-service","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
0.39058091764708447,"Local-gov",-0.6212153509802434,"Masters",1.518162404975155,"Married-civ-spouse","Prof-specialty","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,-0.4395521651504324,"United-States",">50K"
-1.586727386923459,"?",-1.3388718537067392,"11th",-1.19333475314426,"Never-married","?","Own-child","White","Female",-0.14632398522261605,-0.21102378630583485,-0.8414972788743214,"United-States","<=50K"
0.537048199467125,"Private",0.5761411970552694,"Bachelors",1.1308056681009528,"Married-civ-spouse","Exec-managerial","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,1.570173403469012,"United-States",">50K"
-0.4149891323631367,"Private",-0.3237225581301648,"Masters",1.518162404975155,"Married-civ-spouse","Prof-specialty","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,0.36433806229734556,"United-States",">50K"
-0.488222773273157,"?",0.08099985916498631,"Assoc-voc",0.3560921943525486,"Never-married","?","Unmarried","White","Female",-0.14632398522261605,-0.21102378630583485,-3.092389915728099,"United-States","<=50K"
-0.3417554914531169,"State-gov",0.5861048445618355,"Bachelors",1.1308056681009528,"Never-married","Prof-specialty","Not-in-family","White","Male",-0.14632398522261605,-0.21102378630583485,0.6055051305316792,"United-States","<=50K"
-0.6346900550931971,"Private",1.1448907516907434,"11th",-1.19333475314426,"Married-civ-spouse","Other-service","Wife","Black","Female",-0.14632398522261605,-0.21102378630583485,-0.8414972788743214,"United-States","<=50K"
0.6102818403771448,"Private",0.5057912347079603,"HS-grad",-0.4186212793958557,"Never-married","Machine-op-inspct","Unmarried","Amer-Indian-Eskimo","Male",-0.14632398522261605,-0.21102378630583485,1.2486173124899014,"Puerto-Rico","<=50K"
-0.6346900550931971,"Self-emp-not-inc",3.141388495046736,"Some-college",-0.03126454252165356,"Never-married","Craft-repair","Not-in-family","White","Male",-0.14632398522261605,-0.21102378630583485,0.36433806229734556,"United-States","<=50K"
1.3426182494773462,"Private",0.014295364057046456,"Some-college",-0.03126454252165356,"Married-civ-spouse","Protective-serv","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,0.766283176021235,"United-States","<=50K"
-1.000858259643298,"Private",-1.3751565302188027,"HS-grad",-0.4186212793958557,"Never-married","Other-service","Not-in-family","White","Male",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
-0.4149891323631367,"Private",-1.2118282648362868,"Some-college",-0.03126454252165356,"Never-married","Sales","Not-in-family","Black","Male",-0.14632398522261605,-0.21102378630583485,-0.4395521651504324,"United-States","<=50K"
0.09764635400700428,"Private",-0.7996921382589985,"Prof-school",1.9055191418493571,"Never-married","Prof-specialty","Not-in-family","White","Female",1.7649204403512706,-0.21102378630583485,0.766283176021235,"United-States",">50K"
-0.9276246187332777,"Private",-0.5249221282532783,"Bachelors",1.1308056681009528,"Never-married","Tech-support","Own-child","White","Female",-0.14632398522261605,-0.21102378630583485,-0.4395521651504324,"United-States","<=50K"
0.9032164040172255,"Private",-0.09125319000303223,"Some-college",-0.03126454252165356,"Divorced","Exec-managerial","Unmarried","White","Female",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
0.7567491221971854,"Local-gov",-1.2358449052241518,"Masters",1.518162404975155,"Married-civ-spouse","Prof-specialty","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States",">50K"
0.9032164040172255,"Federal-gov",1.1667163340487285,"HS-grad",-0.4186212793958557,"Divorced","Exec-managerial","Not-in-family","White","Female",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
-1.147325541463338,"Private",0.5825538194789266,"Some-college",-0.03126454252165356,"Never-married","Other-service","Not-in-family","White","Female",-0.14632398522261605,-0.21102378630583485,-1.0022753243638767,"United-States","<=50K"
-0.488222773273157,"Private",0.8776572257705586,"HS-grad",-0.4186212793958557,"Never-married","Machine-op-inspct","Not-in-family","White","Female",-0.14632398522261605,-0.21102378630583485,-0.037607051426543414,"United-States","<=50K"
2.5143565040376687,"Private",1.3524746115905761,"HS-grad",-0.4186212793958557,"Married-civ-spouse","Farming-fishing","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,0.766283176021235,"United-States","<=50K"
1.9284873767575075,"Self-emp-inc",-0.31228561298281754,"HS-grad",-0.4186212793958557,"Married-civ-spouse","Sales","Husband","White","Male",-0.14632398522261605,-0.21102378630583485,0.766283176021235,"United-States","<=50K"
